งวดวันที่,ประเภทรางวัล,เลขรางวัล,วันที่ดึงข้อมูล
1 พฤศจิกายน 2568,รางวัลที่ 1,345898,2025-11-04 21:27:04
1 พฤศจิกายน 2568,รางวัลเลขหน้า 3 ตัว,328,2025-11-04 21:27:04
1 พฤศจิกายน 2568,รางวัลเลขหน้า 3 ตัว,449,2025-11-04 21:27:04
1 พฤศจิกายน 2568,รางวัลเลขท้าย 3 ตัว,111,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลเลขท้าย 3 ตัว,690,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลเลขท้าย 2 ตัว,87,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลข้างเคียงรางวัลที่ 1,345897,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลข้างเคียงรางวัลที่ 1,345899,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 2,151807,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 2,275964,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 2,372861,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 2,742450,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 2,416741,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 3,624961,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 3,320575,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 3,406498,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 3,432527,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 3,886473,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 3,231454,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 3,945526,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 3,309293,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 3,901759,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 3,367408,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,372848,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,554459,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,034875,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,616353,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,972837,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,283619,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,486349,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,250773,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,533934,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,581991,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,483837,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,949743,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,542108,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,039184,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,034682,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,299476,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,060471,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,059554,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,342118,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,225976,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,083510,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,384547,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,982809,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,558965,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,221495,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,394760,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,478604,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,951811,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,856702,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,456052,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,626969,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,178606,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,623348,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,263137,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,266926,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,685305,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,357303,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,774512,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,808184,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,958168,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,749936,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,764632,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,727529,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,037977,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,422669,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,005170,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,672363,2025-11-04 21:27:05
1 พฤศจิกายน 2568,รางวัลที่ 4,973879,2025-11-04 21:27:05
